EIN,OrgID,OverallRtg,Tax_Year,Charity Name,Category,Cause,Focus,Total_Assets,Total_Liabilities,Total_Net_Assets,Wkg_Capital,Total_Contributions,ProgSvcRev,Other_Revenue,Total_Revenue,Fundraising_Expenses,Administration_Expenses,Program_Expenses,Total_Expenses,
411425264,11058,4,2016,AchieveMpls,Education,Youth Education Programs and Services,Classroom Support,6293866,737468,5556398,5556398,2285900,1221095,13131,3520126,203523,287693,4511230,5002446,FALSE
133318293,10407,3,2015,Achilles International,Human Services,Multipurpose Human Service Organizations,Athletics Organizations,927104,1018,926086,926086,1832530,511459,207331,2551320,125194,209413,2323573,2658180,FALSE
952673361,17074,3,2016,ACLU Foundation of Southern California,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",33311368,6523939,26787429,24549137,9844881,6935721,358400,17139002,970449,935152,7525765,9431366,FALSE
330930465,13171,3,2015,Acres of Love,International,Development and Relief Services,Humanitarian Services,498209,76638,421571,421571,2630351,110647,20340,2761338,187717,176998,3031291,3396006,FALSE
271928559,5766,3,2015,Act Beyond,Religion,Religious Activities,Christian - International,1762513,202371,1560142,1560142,4265162,0,47824,4312986,161456,495524,3600838,4257818,FALSE
237064937,10825,4,2015,Acterra,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,1193002,70330,1122672,1122672,1713717,87361,17711,1818789,251695,134735,1271200,1657630,FALSE
133327220,3212,4,2015,Action Against Hunger USA,International,Development and Relief Services,Humanitarian Services,70154272,16759152,53395120,53395120,56855915,0,156005,57011920,1037351,4926485,55968985,61932821,FALSE
540897679,7153,3,2016,Action in Community Through Service,Human Services,Social Services,Other,4505935,956791,3549144,3535875,4870655,93729,215021,5179405,89121,974926,3744716,4808763,FALSE
522277575,8757,4,2015,ActionAid USA,International,Development and Relief Services,Humanitarian Services,4553006,132066,4420940,4420940,4690643,0,808,4691451,700055,478684,4094086,5272825,FALSE
200815685,15657,3,2014,Actors' Shakespeare Project,"Arts, Culture, Humanities",Performing Arts,Theater Groups,890525,190741,699784,699784,1456647,357932,33072,1847651,57169,329511,1219611,1606291,FALSE
134166228,11774,4,2015,Acumen,International,Development and Relief Services,Economic and Agricultural Development,102771968,1401512,101370456,101370456,22558173,769446,300901,23628520,2052248,2187833,13045417,17285498,FALSE
841063447,14377,4,2016,Adaptive Sports Center,Human Services,Social Services,Services for the Disabled,3853512,956910,2896602,2763113,1954005,660603,-76334,2538274,273706,60554,1843712,2177972,FALSE
141823155,12126,3,2016,Adaptive Sports Foundation,Human Services,Multipurpose Human Service Organizations,Athletics Organizations,6621071,1247962,5373109,3975781,1297634,130175,273733,1701542,171897,204549,1389158,1765604,FALSE
364348917,13389,4,2016,Administer Justice,Human and Civil Rights,Advocacy and Education,Legal Services,123812,2881,120931,120931,1861650,11468,2,1873120,28569,37529,1760419,1826517,FALSE
592471253,10645,4,2016,Adopt-A-Family,Human Services,Homeless Services,Homelessness - Direct Services,8856487,909915,7946572,7946572,4614760,482332,515948,5613040,366454,357497,4971085,5695036,FALSE
752402759,3216,3,2016,Advancing Native Missions,Religion,Religious Activities,Christian - International,2905609,64456,2841153,2841153,12572492,0,52508,12625000,436339,928285,11036986,12401610,FALSE
112247307,10426,4,2016,Advocates for Children of New York,Human and Civil Rights,Advocacy and Education,Legal Services,9707339,1046509,8660830,8660830,7874408,799163,-30924,8642647,446198,553989,5505706,6505893,FALSE
952275044,5857,2,2015,African Enterprise,Religion,Religious Activities,Christian - International,703003,7924,695079,695079,931756,849,-23742,908863,125829,242951,571447,940227,FALSE
311736706,9463,4,2015,African Leadership,International,Development and Relief Services,Humanitarian Services,420718,15872,404846,404846,3302446,0,-29131,3273315,274549,329617,2684853,3289019,FALSE
954441208,8074,4,2016,After-School All-Stars,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",5072334,784649,4287685,4287685,8367105,109956,1188516,9665577,607467,833912,7195472,8636851,FALSE
911276578,16777,2,2015,Agros International,International,Development and Relief Services,Economic and Agricultural Development,4264410,815781,3448629,2755962,2961365,3701,-14588,2950478,776314,323911,2493610,3593835,FALSE
133779611,12270,3,2016,AHRC New York City Foundation,Human Services,Social Services,Services for the Disabled,28454416,211172,28243244,27742729,2257209,0,2304529,4561738,478617,384344,1024464,1887425,FALSE
521224507,12770,2,2016,Aid for Starving Children,International,Humanitarian Relief Supplies,Medical Supplies,410418,38430,371988,371988,21224652,0,83400,21308052,244483,317200,20627437,21189120,FALSE
953842506,3224,3,2016,AIDS Project Los Angeles,Health,"Diseases, Disorders, and Disciplines",AIDS HIV,10524043,1226604,9297439,9297439,9651348,201707,-182940,9670115,1018764,1477358,5988460,8484582,FALSE
521706646,6235,4,2015,AIDS United,Health,Medical Research,General & Other Research,10397084,573859,9823225,8412954,11167132,405984,221634,11794750,170739,580950,11311517,12063206,FALSE
260770655,17469,3,2015,Akilah Institute for Women,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,2232663,604870,1627793,1627793,1618381,163367,-87472,1694276,297781,176482,1920044,2394307,FALSE
010574950,16829,4,2015,Akshaya Patra USA,International,Development and Relief Services,Economic and Agricultural Development,1754276,36477,1717799,1717799,2363133,0,1226032,3589165,328883,148639,3152545,3630067,FALSE
942960297,5818,4,2016,Alameda County Community Food Bank,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",22348821,1028258,21320563,21320563,68202637,707136,147671,69057444,2178476,1264803,64111864,67555143,FALSE
581322015,8155,2,2015,Aldersgate Renewal Ministries,Religion,Religious Activities,Christian - National,1591484,92984,1498500,1085399,507863,214123,30145,752131,50822,188822,631359,871003,FALSE
562496146,12443,4,2016,Alex's Lemonade Stand Foundation,Health,Medical Research,Cancer,15433980,1609342,13824638,12543586,19357960,0,1826246,21184206,1272553,1163818,18497819,20934190,FALSE
591595459,7225,3,2015,Alfalit International,International,Development and Relief Services,Economic and Agricultural Development,1101929,376281,725648,725648,3873751,0,639642,4513393,157946,337572,3723599,4219117,FALSE
650115814,11632,4,2015,All Faiths Food Bank,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",10657645,183643,10474002,10474002,17443883,327040,123146,17894069,915184,339046,14619045,15873275,FALSE
203414952,13109,4,2015,All Hands and Hearts – Smart Response,Human Services,Multipurpose Human Service Organizations,"National Disaster Relief, Development & Volunteerism",2038139,110982,1927157,1927157,4588896,0,27054,4615950,114733,117885,3464429,3697047,FALSE
330421940,13763,2,2016,All India Mission,Religion,Religious Activities,Christian - International,7152523,14000,7138523,7138523,3307880,0,23074,3330954,158491,229064,1769813,2157368,FALSE
061539280,14495,4,2015,All Our Kin,Human Services,Children's and Family Services,Child Care and Development,867231,61885,805346,805346,2150471,7616,1092,2159179,65333,287835,1775044,2128212,FALSE
770325111,8712,3,2015,All Stars Helping Kids,Education,Scholarship and Financial Support,Education & School Foundations,2778959,62646,2716313,1166313,926445,0,-400034,526411,107802,159257,977928,1244987,FALSE
133148295,6739,3,2015,All Stars Project,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",18972245,11917840,7054405,6089731,10046804,114685,-78096,10083393,1664976,883233,7288374,9836583,FALSE
751986190,10827,4,2017,Allen Community Outreach,Human Services,Social Services,Other,2891863,757370,2134493,2124593,2158527,0,132077,2290604,179367,149077,1862621,2191065,FALSE
356042135,17033,4,2015,Allen County Society for the Prevention of Cruelty to Animals,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,2275720,37128,2238592,2238592,819972,204429,112121,1136522,73538,90549,768815,932902,FALSE
521742079,5453,4,2016,Alley Cat Allies,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,6930072,990979,5939093,5939093,9265575,0,-24175,9241400,683341,542209,8119222,9344772,FALSE
522279100,10853,1,2016,Alley Cat Rescue,Animals,"Animal Rights, Welfare, and Services",Animal Rights and Welfare,1024634,416099,608535,608535,1512169,1890,85109,1599168,168335,110577,1471998,1750910,FALSE
741143076,7881,4,2015,Alley Theatre,"Arts, Culture, Humanities",Performing Arts,Theater Groups,91006511,13487873,77518638,64536495,14723666,4846384,2268414,21838464,1828160,2670414,12007386,16505960,FALSE
541660459,5495,4,2016,Alliance Defending Freedom,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",32795628,4638805,28156823,28156823,50007910,0,1529781,51537691,8116898,4399287,45130220,57646405,FALSE
541379174,8961,3,2015,Alliance for Aging Research,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,2961938,92408,2869530,2358602,1497136,461,8700,1506297,152725,378201,1785195,2316121,FALSE
911704751,11514,3,2016,Alliance for Children Everywhere,International,Development and Relief Services,Child Sponsorship,980635,157815,822820,822820,847216,0,517,847733,150174,249673,945005,1344852,FALSE
562168673,15839,3,2015,Alliance Medical Ministry,Health,Treatment and Prevention Services,General Health Clinics,3863485,144164,3719321,3719321,960120,525926,33387,1519433,166438,147124,1291645,1605207,FALSE
132768583,9362,4,2016,Alliance of Resident Theatres/New York,"Arts, Culture, Humanities",Performing Arts,Artist Support & Development,17962341,1783673,16178668,15751982,7042598,1599297,8055,8649950,547469,141802,3084752,3774023,FALSE
990073494,5895,3,2015,Aloha United Way,Community Development,United Ways,United Ways,21287808,3552877,17734931,14910535,12394043,0,404024,12798067,1497638,1339547,14424963,17262148,FALSE
133962840,14086,3,2015,Alpha USA,Religion,Religious Activities,Christian - National,1399206,1137359,261847,261847,9244485,44027,516432,9804944,744107,124507,9315771,10184385,FALSE
411756085,9517,3,2016,ALS Association Minnesota/North Dakota/South Dakota Chapter,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,3204809,330887,2873922,2873922,3391233,0,-20548,3370685,481966,305109,2958173,3745248,FALSE
043462719,11766,4,2015,ALS Therapy Development Institute,Health,"Diseases, Disorders, and Disciplines",ALS Organizations,8357864,2928420,5429444,5429444,7743559,293663,1363309,9400531,855789,556945,11265581,12678315,FALSE
351044585,12847,3,2015,ALSAC - St. Jude Children's Research Hospital,Health,Treatment and Prevention Services,Hospital Foundations,4143984259,388740288,3755243971,2881358837,1113912280,105576630,168087142,1387576052,180954270,124464846,789952881,1095371997,FALSE
943210413,16571,4,2016,Alternatives in Action,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,657028,57318,599710,599710,4808496,78698,13252,4900446,204560,75454,3619391,3899405,FALSE
522211305,7141,4,2015,Amazon Conservation Association,Environment,Environmental Protection and Conservation,Forests,2752850,109545,2643305,2643305,3008096,514512,11725,3534333,50718,293021,4164858,4508597,FALSE
954604782,10643,3,2015,Amazon Watch,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,249760,232661,17099,17099,1275197,0,14959,1290156,158645,151531,1239089,1549265,FALSE
131664048,8184,4,2015,America-Israel Cultural Foundation,"Arts, Culture, Humanities",Performing Arts,Artist Support & Development,6699729,295389,6404340,2660073,1920535,0,395178,2315713,151278,296727,1483442,1931447,FALSE
530196568,3239,3,2015,American Association for the Advancement of Science,Research and Public Policy,Non-Medical Science & Technology Research,Non-Medical Science & Technology Research,156590399,41938161,114652238,99626223,41323511,56977135,4906735,103207381,3218896,11794966,86329951,101343813,FALSE
521930174,11237,3,2016,American Association of People with Disabilities,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",1380663,279754,1100909,1100909,1455013,0,92871,1547884,193173,251608,1098095,1542876,FALSE
383027574,7641,4,2016,American Autoimmune Related Diseases Association,Health,"Diseases, Disorders, and Disciplines",Other Diseases,1140537,135938,1004599,1004599,1152478,0,-7051,1145427,50090,37958,983368,1071416,FALSE
522031814,8004,1,2016,American Breast Cancer Foundation,Health,"Diseases, Disorders, and Disciplines",Breast Cancer,2051665,232923,1818742,1818742,626291,0,161078,787369,170256,298334,485779,954369,FALSE
131788491,6495,2,2015,American Cancer Society,Health,"Diseases, Disorders, and Disciplines",Cancer,1773407019,598024010,1175383009,896376820,794826034,72001,43483365,838381400,178652420,54499470,693651076,926802966,FALSE
136213516,3247,4,2016,American Civil Liberties Union Foundation,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",341682167,96033380,245648787,199187915,89472041,5422660,368142,95262843,7293913,4010039,72953690,84257642,FALSE
942711707,12062,4,2015,American Council for an Energy-Efficient Economy ,Research and Public Policy,Non-Medical Science & Technology Research,Non-Medical Science & Technology Research,8316346,648553,7667793,7667793,5087816,3326786,115560,8530162,201143,44867,7843113,8089123,FALSE
131889074,4945,4,2015,American Council on Germany,International,"International Peace, Security, and Affairs",International Relations,11220883,274991,10945892,10945892,1240391,56970,484557,1781918,84692,476527,1492137,2053356,FALSE
131623888,3251,2,2014,American Diabetes Association,Health,"Diseases, Disorders, and Disciplines",Diabetes,152857069,33432294,119424775,105064076,151656873,34970516,12335829,198963218,43864524,8931400,134762885,187558809,FALSE
133045282,4973,4,2015,American Federation for Aging Research,Health,Medical Research,Biomedicine,21970210,3400478,18569732,14464521,2550033,24644,471301,3045978,351227,480602,9532582,10364411,FALSE
521127259,6610,2,2017,American Federation of Police and Concerned Citizens,Human Services,Multipurpose Human Service Organizations,Cop/Firefighter Relief,1035579,190998,844581,844581,4012760,11894,50372,4075026,1557638,306077,2146825,4010540,FALSE
300247823,12734,4,2016,American Foundation For Children With AIDS,International,Humanitarian Relief Supplies,Medical Supplies,637368,10,637358,637358,2414804,0,112,2414916,77373,51563,2005300,2134236,FALSE
133393329,6745,3,2016,American Foundation for Suicide Prevention,Health,Treatment and Prevention Services,Mental Health,15189776,7220236,7969540,7135700,26402609,192115,-4883628,21711096,2550904,1046466,18380190,21977560,FALSE
133441742,4985,2,2016,American Friends of Neve Shalom/Wahat al-Salam,International,"International Peace, Security, and Affairs",International Relations,966247,18578,947669,583888,519346,0,41312,560658,56650,69405,455887,581942,FALSE
113459952,8823,4,2016,American Friends of Yad Eliezer,Human Services,Social Services,Other,1858056,67759,1790297,1790297,29969355,0,235741,30205096,464265,528311,28892763,29885339,FALSE
135613797,3260,4,2016,American Heart Association,Health,"Diseases, Disorders, and Disciplines",Heart,1326447551,437037060,889410491,707210184,693094040,29573090,107712293,830379423,95811767,62254399,653394727,811460893,FALSE
942951480,5817,4,2015,American Himalayan Foundation,International,Development and Relief Services,Economic and Agricultural Development,13090217,608485,12481732,12481732,7813264,0,112828,7926092,506352,225374,5453680,6185406,FALSE
840432950,3262,3,2016,American Humane,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,16110269,3200074,12910195,6737122,11781059,3042937,2100654,16924650,1582996,913906,11303310,13800212,FALSE
946168317,11651,4,2015,American Humanist Association,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",1817971,147745,1670226,1670226,2019244,363891,56629,2439764,229931,101936,1964012,2295879,FALSE
521573446,3263,4,2016,American Indian College Fund,Education,Scholarship and Financial Support,Scholarships & Financial Aid,74720058,1126064,73593994,45415569,23899215,8617,912261,24820093,4994782,1561646,16270099,22826527,FALSE
521238026,3264,1,2015,American Institute for Cancer Research,Health,"Diseases, Disorders, and Disciplines",Cancer,14956939,6403400,8553539,7737244,16472392,1251041,785872,18509305,3717825,2934470,12219602,18871897,FALSE
135563393,3266,3,2015,American Jewish Committee,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",152719181,32363216,120355965,60450150,47969581,1306874,4913286,54189741,7515968,4508851,36571364,48596183,FALSE
131656634,3268,4,2016,American Jewish Joint Distribution Committee,International,Development and Relief Services,Humanitarian Services,468714984,121900608,346814376,310464744,280697460,3549575,8358871,292605906,9691291,26023336,270846490,306561117,FALSE
133813813,5005,3,2016,American Kennel Club Canine Health Foundation,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,16517383,3782846,12734537,8727085,4760149,27177,374277,5161603,205417,537515,2236008,2978940,FALSE
237124261,3270,4,2016,American Kidney Fund,Health,"Diseases, Disorders, and Disciplines",Kidney,34144657,2898087,31246570,31071553,309848418,1463,281633,310131514,4097529,1951487,298169626,304218642,FALSE
135562163,3272,3,2016,American Leprosy Missions,International,Development and Relief Services,Humanitarian Services,12081727,512170,11569557,6092859,12529567,0,6721,12536288,2290756,443160,10301389,13035305,FALSE
362883000,6145,3,2015,American Liver Foundation,Health,"Diseases, Disorders, and Disciplines",Other Diseases,4156751,1757652,2399099,1407064,7402572,0,567438,7970010,1045149,708284,5921022,7674455,FALSE
251825116,8950,3,2016,American Lung Association of the Mid-Atlantic,Health,"Diseases, Disorders, and Disciplines",Lung,6574991,3565391,3009600,2998899,12371430,87619,151195,12610244,1130934,533198,9873344,11537476,FALSE
060646594,7749,4,2016,American Lung Association of the Northeast,Health,"Diseases, Disorders, and Disciplines",Lung,25846732,5675347,20171385,10343806,12782429,791115,921870,14495414,2110279,521485,12521322,15153086,FALSE
860111676,7905,4,2016,American Lung Association of the Southwest,Health,"Diseases, Disorders, and Disciplines",Lung,12934532,4063675,8870857,7746425,8502845,215564,397946,9116355,1067326,307672,8348460,9723458,FALSE
131632524,3274,3,2016,"American Lung Association, National Headquarters",Health,"Diseases, Disorders, and Disciplines",Lung,38729214,23536810,15192404,11431593,8128925,31705838,3006075,42840838,499699,2210243,36797338,39507280,FALSE
366080517,13008,2,2016,American Medical Association Foundation,Health,Medical Research,General & Other Research,23128008,193553,22934455,18423774,1676045,0,398039,2074084,645352,833909,1480767,2960028,FALSE
650326517,3279,4,2016,American Nicaraguan Foundation,International,Humanitarian Relief Supplies,"Food, Agriculture and Miscellaneous",23487446,1791011,21696435,21696435,91241573,5801782,486654,97530009,404074,1042632,92031106,93477812,FALSE
610444640,8072,3,2016,American Printing House For The Blind,Human Services,Social Services,Services for the Blind and Deaf,144187383,18844915,125342468,123167966,10716157,0,11695432,22411589,646430,6361782,12028938,19037150,FALSE
237110058,17020,3,2016,American Public Gardens Association,Environment,"Botanical Gardens, Parks, and Nature Centers","Outdoor Programs, Parks, & Nature Centers",1222139,339437,882702,882702,1269376,590051,59054,1918481,25973,621063,1295748,1942784,FALSE
530196605,3277,2,2016,American Red Cross,Human Services,Multipurpose Human Service Organizations,"National Disaster Relief, Development & Volunteerism",3235806694,2250133837,985672857,177862357,637862655,1878941932,101398665,2618203252,169675811,116370322,2393557816,2679603949,FALSE
411989714,13861,4,2016,American Relief Agency for the Horn of Africa (ARAHA),International,Development and Relief Services,Humanitarian Services,1138052,151370,986682,986682,1814533,0,39488,1854021,158144,124145,3076961,3359250,FALSE
237305963,3285,3,2016,American Rivers,Environment,Environmental Protection and Conservation,Rivers,12463482,2680544,9782938,7957986,11219566,0,288012,11507578,2093671,1544775,10496292,14134738,FALSE
131623829,3286,3,2015,American Society for the Prevention of Cruelty to Animals,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,247028147,32973212,214054935,189161520,182705546,15914207,8306556,206926309,39173981,10304327,140604639,190082947,FALSE
416038600,11813,4,2015,American Thyroid Association,Health,"Diseases, Disorders, and Disciplines",Other Diseases,7872589,929995,6942594,3844879,1311147,3060220,63545,4434912,117277,59677,3758459,3935413,FALSE
930749558,7914,2,2016,American Tinnitus Association,Health,"Diseases, Disorders, and Disciplines",Other Diseases,1985922,153679,1832243,1832243,1750634,8221,34040,1792895,114309,228772,584401,927482,FALSE
521996467,7137,3,2015,Americans for the Arts,"Arts, Culture, Humanities",Performing Arts,Arts Councils & Campaigns,122299531,2854334,119445197,119047858,4829971,2876190,1995013,9701174,991121,1354665,13175028,15520814,FALSE
363906065,12497,2,2015,Americans United for Life,Human and Civil Rights,Advocacy and Education,Advocates Against Abortion & Reproductive Rights,1507112,225023,1282089,1282089,4308885,10,10161,4319056,886057,198871,2768181,3853109,FALSE
061008595,3289,4,2016,Americares,International,Humanitarian Relief Supplies,Medical Supplies,153730999,8848399,144882600,140708039,914486587,776992,470067,915733646,10121662,4427820,967537372,982086854,FALSE
592610345,8997,4,2016,America's Second Harvest of the Big Bend,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",2756809,1190092,1566717,1566717,11452955,125009,-14643,11563321,171193,235907,10716988,11124088,FALSE
135631502,3293,4,2015,AMIT,Education,Youth Education Programs and Services,After-school Educational Programs & Services for Elementary and Secondary Students,15995281,1616610,14378671,14178671,12391528,7625,-768534,11630619,737217,1294843,11045093,13077153,FALSE
131867411,4943,3,2015,Amref Health Africa,International,Development and Relief Services,Humanitarian Services,3320641,868482,2452159,2452159,6557529,0,43145,6600674,1013541,424630,4740005,6178176,FALSE
520970963,11547,4,2016,AMVETS National Service Foundation,Human and Civil Rights,Advocacy and Education,Veterans Services & Advocacy,22450345,4028453,18421892,4419005,15325822,0,966138,16291960,878688,2291193,14527136,17697017,FALSE
521666511,10250,4,2015,Anacostia Watershed Society,Environment,Environmental Protection and Conservation,Natural Resource Conservation,1579963,558167,1021796,1021796,3334107,135006,2217,3471330,164473,297088,3326752,3788313,FALSE
520882226,3278,4,2016,ANERA,International,Development and Relief Services,Humanitarian Services,19319862,6234107,13085755,13012552,57327621,0,479451,57807072,704110,2511278,52486800,55702188,FALSE
411990883,15140,4,2015,Angel Foundation,Health,Patient and Family Support,Patient & Family Support,2894795,215360,2679435,2379041,1616261,0,605808,2222069,267076,259514,1598368,2124958,FALSE
746002033,5688,4,2015,Animal Defense League of Texas,Animals,"Animal Rights, Welfare, and Services",No-Kill Shelters,7434170,270912,7163258,7163258,5115734,561045,225706,5902485,160884,611850,3316785,4089519,FALSE
250951565,6105,4,2015,Animal Friends,Animals,"Animal Rights, Welfare, and Services",No-Kill Shelters,19671348,3219620,16451728,11735690,6472921,0,447736,6920657,448811,233803,4792097,5474711,FALSE
850207652,5744,4,2016,Animal Humane New Mexico,Animals,"Animal Rights, Welfare, and Services",Humane Societies/SPCA's,12397995,350637,12047358,12047358,4267806,902485,735661,5905952,657362,419126,4712912,5789400,FALSE
942681680,3298,4,2015,Animal Legal Defense Fund,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,12120246,733868,11386378,11386378,10935550,32965,146430,11114945,1046488,1825251,8745030,11616769,FALSE
